# hostname;interval;timestamp;DEV;tps;rd_sec/s;wr_sec/s;avgrq-sz;avgqu-sz;await;svctm;%util
axle;60;1415066708;sdb;1545.45;13465.60;85722.93;64.18;3.69;2.39;0.04;6.22
axle;60;1415066708;sda;16.53;14.40;949.73;58.31;0.02;1.05;0.26;0.43
axle;60;1415066768;sdb;1497.55;12796.13;38467.87;34.23;4.14;2.77;0.04;5.27
axle;60;1415066768;sda;32.58;10.53;662.13;20.64;0.02;0.69;0.31;1.01
axle;60;1415066828;sdb;184.90;13201.07;9884.53;124.85;0.76;4.13;0.14;2.54
axle;60;1415066828;sda;4.82;21.33;72.00;19.38;0.00;0.46;0.33;0.16
axle;60;1415066888;sdb;126.10;13220.93;7422.40;163.71;0.09;0.68;0.16;2.05
axle;60;1415066888;sda;8.62;17.60;170.13;21.79;0.00;0.56;0.26;0.23
axle;60;1415066948;sdb;105.50;13279.47;6752.93;189.88;0.06;0.55;0.17;1.83
axle;60;1415066948;sda;9.80;12.93;258.13;27.66;0.00;0.31;0.17;0.17
axle;60;1415067008;sdb;85.90;12778.27;6422.53;223.53;0.04;0.44;0.25;2.17
axle;60;1415067008;sda;25.62;14.80;522.80;20.99;0.03;1.28;0.17;0.44
axle;60;1415067068;sdb;186.93;13388.80;8352.93;116.31;0.23;1.25;0.12;2.17
axle;60;1415067068;sda;10.55;4.67;220.00;21.30;0.00;0.22;0.14;0.15
axle;60;1415067128;sdb;131.72;13409.33;7366.27;157.73;0.09;0.65;0.14;1.80
axle;60;1415067128;sda;4.02;21.87;52.67;18.56;0.00;0.51;0.51;0.21
