# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff
axle;60;1415066708;6740.00;43336.33;214560.73;0.25;26055.80;2267.15;469.28;2702.43;98.76
axle;60;1415066768;6403.33;19565.00;117321.43;0.17;19171.42;6034.83;581.65;6528.02;98.66
axle;60;1415066828;6611.20;4978.27;136094.47;0.37;29236.32;1798.78;2.58;1795.40;99.67
axle;60;1415066888;6619.27;3796.27;212602.97;0.28;23750.28;1031.62;345.35;1361.37;98.87
axle;60;1415066948;6646.20;3505.53;134031.65;0.22;15446.17;0.00;379.28;351.35;92.64
axle;60;1415067008;6396.53;3472.67;112187.23;0.25;25206.38;1906.92;836.82;2679.52;97.66
axle;60;1415067068;6696.73;4286.47;44713.92;0.10;16976.07;0.00;179.17;154.95;86.48
axle;60;1415067128;6715.60;3709.47;101632.60;0.38;9269.00;0.00;0.00;0.00;0.00
