# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
axle;60;1415066135;4945624;259173932;98.13;195992;221084056;134426868;49.12;153278540;96470480
axle;60;1415066195;4149076;259970480;98.43;196144;221500768;134812008;49.26;154353456;96191848
axle;60;1415066255;2795704;261323852;98.94;196328;221914320;135725536;49.59;163775016;88115312
axle;60;1415066315;3864976;260254580;98.54;196636;222322472;134258036;49.06;163727500;87087828
axle;60;1415066375;3408524;260711032;98.71;196804;222695708;134347812;49.09;165151640;86121904
axle;60;1415066435;2638168;261481388;99.00;326708;223081328;134419616;49.11;165510840;86256888
axle;60;1415066495;2289172;261830384;99.13;326884;223494632;134333308;49.08;165650160;86476136
axle;60;1415066555;1393912;262725644;99.47;327032;223921260;134794560;49.25;166644288;86370676
axle;60;1415066615;1424624;262694932;99.46;327352;224362892;134324472;49.08;168471752;84524796
