# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff
axle;60;1415066135;6465.80;22264.27;64823.78;0.43;19366.78;0.00;0.00;0.00;0.00
axle;60;1415066195;6838.73;14794.47;8897.72;0.12;8955.25;0.00;0.00;0.00;0.00
axle;60;1415066255;6828.00;3515.60;93717.98;0.08;11896.92;0.00;0.00;0.00;0.00
axle;60;1415066315;6618.13;3418.47;57610.08;0.18;16066.20;0.00;0.00;0.00;0.00
axle;60;1415066375;6128.80;3086.33;30935.47;0.22;9685.20;0.00;0.00;0.00;0.00
axle;60;1415066435;8501.47;3393.93;102152.82;0.18;16202.58;0.00;0.00;0.00;0.00
axle;60;1415066495;6803.33;3538.47;40539.50;0.30;9532.85;0.00;0.00;0.00;0.00
axle;60;1415066555;6856.00;3596.33;50163.37;0.45;9129.08;0.00;0.00;0.00;0.00
axle;60;1415066615;6863.67;3918.40;100628.15;0.35;15624.57;0.00;0.00;0.00;0.00
