ctime,datname,numbackends,xact_commit,xact_rollback,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted
1415066075.10778,template1,0,0,0,0,0,0,0,0,0,0
1415066075.10778,template0,0,0,0,0,0,0,0,0,0,0
1415066075.10778,postgres,0,1221,5,6960,47010,564118,16572,0,0,0
1415066075.10778,dbt3,4,20114,0,2855990855,4271218850,81054185653,42196406670,869906082,2620,2781523
1415066135.11649,template1,0,0,0,0,0,0,0,0,0,0
1415066135.11649,template0,0,0,0,0,0,0,0,0,0,0
1415066135.11649,postgres,0,1223,5,6968,47060,565044,16583,0,0,0
1415066135.11649,dbt3,6,20146,0,2856748670,4274348377,81060754178,42200838642,869980702,2623,2781523
1415066195.11744,template1,0,0,0,0,0,0,0,0,0,0
1415066195.11744,template0,0,0,0,0,0,0,0,0,0,0
1415066195.11744,postgres,0,1225,5,6996,47090,565970,16594,0,0,0
1415066195.11744,dbt3,6,20158,0,2856748715,4274351699,81060759435,42200840092,869980702,2623,2781523
1415066255.12211,template1,0,0,0,0,0,0,0,0,0,0
1415066255.12211,template0,0,0,0,0,0,0,0,0,0,0
1415066255.12211,postgres,0,1227,5,7016,47128,566896,16605,0,0,0
1415066255.12211,dbt3,6,20194,0,2859588204,4313685520,81104240194,42234316948,869980706,2627,2781523
1415066315.12713,template1,0,0,0,0,0,0,0,0,0,0
1415066315.12713,template0,0,0,0,0,0,0,0,0,0,0
1415066315.12713,postgres,0,1229,5,7036,47166,567822,16616,0,0,0
1415066315.12713,dbt3,5,20219,0,2860564447,4317419015,81241988603,42235454791,869980708,2629,2781523
1415066375.13139,template1,0,0,0,0,0,0,0,0,0,0
1415066375.13139,template0,0,0,0,0,0,0,0,0,0,0
1415066375.13139,postgres,0,1231,5,7052,47208,568748,16627,0,0,0
1415066375.13139,dbt3,4,20244,0,2861780034,4330815785,81299736990,42276684313,869980710,2631,2781523
1415066435.13068,template1,0,0,0,0,0,0,0,0,0,0
1415066435.13068,template0,0,0,0,0,0,0,0,0,0,0
1415066435.13068,postgres,0,1233,5,7072,47246,569674,16638,0,0,0
1415066435.13068,dbt3,5,20285,0,2863106550,4335082745,81400749900,42279617597,869980715,2636,2781523
1415066495.13148,template1,0,0,0,0,0,0,0,0,0,0
1415066495.13148,template0,0,0,0,0,0,0,0,0,0,0
1415066495.13148,postgres,0,1235,5,7088,47288,570600,16649,0,0,0
1415066495.13148,dbt3,6,20302,0,2864112625,4335397127,81405249937,42284114135,869980731,2638,2781538
1415066555.13395,template1,0,0,0,0,0,0,0,0,0,0
1415066555.13395,template0,0,0,0,0,0,0,0,0,0,0
1415066555.13395,postgres,0,1237,5,7108,47326,571526,16660,0,0,0
1415066555.13395,dbt3,6,20320,0,2864527428,4336053201,81465301468,42284116166,869980732,2639,2781538
1415066615.13531,template1,0,0,0,0,0,0,0,0,0,0
1415066615.13531,template0,0,0,0,0,0,0,0,0,0,0
1415066615.13531,postgres,0,1239,5,7136,47356,572452,16671,0,0,0
1415066615.13531,dbt3,6,20362,0,2867583353,4344090998,81527644779,42312612802,869980737,2644,2781538
