Linux 3.11.0-17-generic (axle) 	04/11/14 	_x86_64_	(64 CPU)

01:42:51        CPU     %user     %nice   %system   %iowait    %steal     %idle
01:43:51        all      7.83      0.00      1.20      0.31      0.00     90.67
01:44:51        all      5.78      0.00      0.67      0.24      0.00     93.31
01:45:51        all      4.75      0.00      0.39      0.07      0.00     94.80
01:46:51        all      4.73      0.00      0.39      0.11      0.00     94.77
01:47:51        all      4.96      0.00      0.61      0.09      0.00     94.33
01:48:51        all      4.57      0.00      0.71      0.58      0.00     94.14
01:49:51        all      6.58      0.00      1.35      0.05      0.00     92.02
01:50:51        all      8.02      0.00      0.63      0.06      0.00     91.28
01:51:51        all      6.04      0.00      0.49      0.14      0.00     93.33
01:52:51        all      4.87      0.00      0.23      0.01      0.00     94.89
01:53:51        all      4.80      0.00      0.30      0.01      0.00     94.89
