# hostname;interval;timestamp;frmpg/s;bufpg/s;campg/s
axle;60;1415065431;64374.05;1.62;-64172.13
axle;60;1415065491;-22382.58;0.83;22504.48
axle;60;1415065551;-9691.03;0.70;9688.98
axle;60;1415065611;-9898.18;0.82;9876.78
axle;60;1415065671;-16738.45;0.93;6669.48
axle;60;1415065731;-7844.58;0.88;7870.45
axle;60;1415065791;-42383.30;-0.12;3156.75
axle;60;1415065851;-10012.25;0.82;10553.33
axle;60;1415065911;22857.32;0.53;8364.62
axle;60;1415065971;-4373.08;0.78;4362.18
axle;60;1415066031;-8390.88;0.80;8226.00
