# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
axle;60;1415065431;31290700;232828856;88.15;193824;194931488;134292824;49.07;145312084;78092252
axle;60;1415065491;25918880;238200676;90.19;194024;200332564;134231348;49.05;149564436;79252968
axle;60;1415065551;23593032;240526524;91.07;194192;202657920;134231348;49.05;151698140;79444912
axle;60;1415065611;21217468;242902088;91.97;194388;205028348;134231348;49.05;153865784;79649192
axle;60;1415065671;17200240;246919316;93.49;194612;206629024;137538532;50.25;157698508;79833476
axle;60;1415065731;15317540;248802016;94.20;194824;208517932;137128788;50.10;157765656;81626880
axle;60;1415065791;5145548;258974008;98.05;194796;209275552;147443056;53.87;166379740;83197208
axle;60;1415065851;2742608;261376948;98.96;194992;211808352;145953280;53.33;166197280;85764336
axle;60;1415065911;8228364;255891192;96.88;195120;213815860;138337156;50.55;158701692;87777756
axle;60;1415065971;7178824;256940732;97.28;195308;214862784;138337252;50.55;158905692;88622520
axle;60;1415066031;5165012;258954544;98.04;195500;216837024;138354016;50.55;160407444;89132064
