# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff
axle;60;1415065431;6241.47;155630.40;58990.12;0.22;150716.15;0.00;0.00;0.00;0.00
axle;60;1415065491;6301.47;105273.27;47421.17;0.18;42873.05;0.00;0.00;0.00;0.00
axle;60;1415065551;6439.53;48262.93;8479.28;0.18;21027.80;0.00;0.00;0.00;0.00
axle;60;1415065611;6487.13;65911.33;8575.67;0.18;20993.22;0.00;0.00;0.00;0.00
axle;60;1415065671;6486.93;56663.53;10647.10;0.08;22859.92;0.00;320.57;255.20;79.61
axle;60;1415065731;5660.53;175021.87;8636.75;0.15;34083.58;0.00;540.83;436.17;80.65
axle;60;1415065791;6140.93;30731.00;42467.15;0.17;41629.78;0.00;5640.93;4662.70;82.66
axle;60;1415065851;6557.47;33341.07;27737.13;0.40;23302.07;0.00;2150.70;2014.65;93.67
axle;60;1415065911;6508.27;77528.00;10535.05;0.18;54431.53;3075.58;2.80;3071.63;99.78
axle;60;1415065971;6863.60;12717.87;5701.23;0.30;10072.65;0.00;0.00;0.00;0.00
axle;60;1415066031;6783.73;16328.27;5962.63;0.40;13377.42;0.00;0.00;0.00;0.00
